CongNumb,Year,ICPSR,District,State,State_abbrv,State_full,lookup,Dist_lat,Dist_long,ST_lat,ST_long,Party,House,Party_name,Name,IdeologicalRank,TotalReceipts,FEC_YR_lookup,RepName_FEC,URL_FEC,Rep_Lookup,RepName_ipcsr,,,,
110,2008,15245,01,HAWAII,HI,HAWAII,110_HI_01,21.389167,-157.93091,21.1098,-157.5311,100,House of Representatives,Democrat,ABERCROM,-0.391,1444075,ABERCROMBI_2008,"ABERCROMBIE, NEIL",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6HI01121&tabIndex=1,"Abercrombie, Ne","Abercrombie, Neil",,HI,D,TRUE
111,2010,15245,01,HAWAII,HI,HAWAII,111_HI_01,21.389167,-157.93091,21.1098,-157.5311,100,House of Representatives,Democrat,ABERCROM,-0.379,34029,ABERCROMBI_2010,"ABERCROMBIE, NEIL",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6HI01121&tabIndex=1,"Abercrombie, Ne","Abercrombie, Neil",,HI,D,TRUE
110,2008,15000,05,NEW YOR,NY,NEW YORK,110_NY_05,40.742944,-73.70956,42.1497,-74.9384,100,House of Representatives,Democrat,ACKERMAN,-0.379,1313445,"ACKERMAN, _2008","ACKERMAN, GARY L.",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4NY07011&tabIndex=1,"Ackerman, Ga","Ackerman, Gary L.",,NY,D,TRUE
111,2010,15000,05,NEW YOR,NY,NEW YORK,111_NY_05,40.742944,-73.70956,42.1497,-74.9384,100,House of Representatives,Democrat,ACKERMAN,-0.371,1109041,"ACKERMAN, _2010","ACKERMAN, GARY L.",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4NY07011&tabIndex=1,"Ackerman, Ga","Ackerman, Gary L.",,NY,D,TRUE
112,2012,15000,05,NEW YOR,NY,NEW YORK,112_NY_05,40.796263,-73.72809,42.1497,-74.9384,100,House of Representatives,Democrat,ACKERMAN,-0.363,452953,"ACKERMAN, _2012","ACKERMAN, GARY L.",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4NY07011&tabIndex=1,"Ackerman, Ga","Ackerman, Gary L.",,NY,D,TRUE
112,2012,21120,24,FLORIDA,FL,FLORIDA,112_FL_24,28.709173,-80.988413,27.8333,-81.717,200,House of Representatives,Republican,ADAMS,0.778,1000864,"ADAMS, SAN_2012","ADAMS, SANDY",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0FL24049&tabIndex=1,"Adams, Sa","Adams, Sandy",,FL,R,TRUE
110,2008,29701,04,ALABAMA,AL,ALABAMA,110_AL_04,33.922162,-86.449262,32.799,-86.8073,200,House of Representatives,Republican,ADERHOLT,0.475,666975,"ADERHOLT, _2008","ADERHOLT, ROBERT B.",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6AL04098&tabIndex=1,"Aderholt, Ro","Aderholt, Robert",,AL,R,TRUE
111,2010,29701,04,ALABAMA,AL,ALABAMA,111_AL_04,33.922162,-86.449262,32.799,-86.8073,200,House of Representatives,Republican,ADERHOLT,0.471,828588,"ADERHOLT, _2010","ADERHOLT, ROBERT B.",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6AL04098&tabIndex=1,"Aderholt, Ro","Aderholt, Robert",,AL,R,TRUE
112,2012,29701,04,ALABAMA,AL,ALABAMA,112_AL_04,34.075826,-87.090359,32.799,-86.8073,200,House of Representatives,Republican,ADERHOLT,0.467,1247169,"ADERHOLT, _2012","ADERHOLT, ROBERT B.",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6AL04098&tabIndex=1,"Aderholt, Ro","Aderholt, Robert",,AL,R,TRUE
111,2010,20928,03,NEW JER,NJ,NEW JERSEY,111_NJ_03,39.932279,-75.02266,40.314,-74.5089,100,House of Representatives,Democrat,ADLER,-0.124,3301321,"ADLER, JOH_2010","ADLER, JOHN H",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8NJ00368&tabIndex=1,"Adler, Jo","Adler, John H.",,NJ,D,TRUE
